seed,scenario,level,method,rmse,delta_rmse,rmse_all,delta_rmse_all,mean_corrupt_weight,mean_corrupt_leverage_factor,irls_iterations,alpha,kappa_x,q_geometry,kappa_y,scale
1909,leverage_amplitude,50.0,huber,0.3690076455464683,0.138395286960651,0.3690076455464683,0.138395286960651,0.8745784854062818,,,,,,,
1909,leverage_amplitude,50.0,geometry,0.2425781248390775,0.011630246778987,0.2425781248390775,0.011630246778987,0.0037678462708199,,,,,,,
1909,leverage_amplitude,50.0,bgr,0.2307085363598416,0.0002922181143127,0.2307085363598416,0.0002922181143127,0.0014777520391079,,,,,,,
1909,mixed_amplitude,50.0,ridge,0.395691573579209,0.1643888269804159,0.395691573579209,0.1643888269804159,1.0,,,,,,,
1909,mixed_amplitude,50.0,huber,0.3028300156681333,0.072217657082316,0.3028300156681333,0.072217657082316,0.4824351128038903,,,,,,,
1909,mixed_amplitude,50.0,geometry,0.2429164668510413,0.0119685887909508,0.2429164668510413,0.0119685887909508,0.0037678462708199,,,,,,,
1909,mixed_amplitude,50.0,bgr,0.2306261619040887,0.0002098436585598,0.2306261619040887,0.0002098436585598,0.0008472610758172,,,,,,,
1909,gaussian_noise,0.4,ridge,0.2420382699429533,0.0107355233441603,0.2420382699429533,0.0107355233441603,1.0,,,,,,,
1909,gaussian_noise,0.4,huber,0.2421206565761972,0.0115082979903799,0.2421206565761972,0.0115082979903799,0.941556903581644,,,,,,,
1909,gaussian_noise,0.4,geometry,0.2421736446181699,0.0112257665580794,0.2421736446181699,0.0112257665580794,0.9912327438927172,,,,,,,
1909,gaussian_noise,0.4,bgr,0.2426514262821525,0.0122351080366236,0.2426514262821525,0.0122351080366236,0.9332249312789928,,,,,,,
2010,nominal_raw,0.0,ridge,0.2506016476538128,0.0,0.2506016476538128,0.0,,,,,,,,
2010,nominal_raw,0.0,huber,0.2573296830707889,0.0,0.2573296830707889,0.0,,,,,,,,
2010,nominal_raw,0.0,geometry,0.2502447744512571,0.0,0.2502447744512571,0.0,,,,,,,,
2010,nominal_raw,0.0,bgr,0.257026184005486,0.0,0.257026184005486,0.0,,,,,,,,
2010,vertical_amplitude,4.0,ridge,0.296342535786786,0.0457408881329731,0.296342535786786,0.0457408881329731,1.0,,,,,,,
2010,vertical_amplitude,4.0,huber,0.2581968293504841,0.0008671462796951,0.2581968293504841,0.0008671462796951,0.0892193255009844,,,,,,,
2010,vertical_amplitude,4.0,geometry,0.2955399620557303,0.0452951876044732,0.2955399620557303,0.0452951876044732,0.9906694626835036,,,,,,,
2010,vertical_amplitude,4.0,bgr,0.25789908017595,0.0008728961704639,0.25789908017595,0.0008728961704639,0.0884119247673866,,,,,,,
2010,leverage_amplitude,50.0,ridge,0.3834940096341938,0.132892361980381,0.3834940096341938,0.132892361980381,1.0,,,,,,,
2010,leverage_amplitude,50.0,huber,0.3428080233658348,0.0854783402950458,0.3428080233658348,0.0854783402950458,0.6858901720792562,,,,,,,
2010,leverage_amplitude,50.0,geometry,0.251697314192184,0.0014525397409269,0.251697314192184,0.0014525397409269,0.0062883361755284,,,,,,,
2010,leverage_amplitude,50.0,bgr,0.256761173510205,-0.0002650104952809,0.256761173510205,-0.0002650104952809,0.0016775521155155,,,,,,,
2010,mixed_amplitude,50.0,ridge,0.3891929356842886,0.1385912880304757,0.3891929356842886,0.1385912880304757,1.0,,,,,,,
2010,mixed_amplitude,50.0,huber,0.291907473729058,0.0345777906582691,0.291907473729058,0.0345777906582691,0.4196474546377651,,,,,,,
2010,mixed_amplitude,50.0,geometry,0.2522338550545317,0.0019890806032746,0.2522338550545317,0.0019890806032746,0.0062883361755284,,,,,,,
2010,mixed_amplitude,50.0,bgr,0.2569183327436547,-0.0001078512618312,0.2569183327436547,-0.0001078512618312,0.0010270624145837,,,,,,,
2010,gaussian_noise,0.4,ridge,0.2752721782361652,0.0246705305823523,0.2752721782361652,0.0246705305823523,1.0,,,,,,,
